SMILES
CC1=CC(=O)C=CC1=O
CC1=CC(=O)C=CC1=O
CC1=CC(=O)C=CC1=O
CN(C)CCC(=O)c1ccccc1
O=C(O)c1ccccn1
C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O
O=C(/C=C/c1cccnc1)c1ccccc1
O=C(/C=C/c1ccccn1)c1ccccc1
O=C1OC(c2ccccc2)=N/C1=C\c1ccccc1
O=C(O)CCCc1ccccc1
CCN(CC)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12
O=C1C(O)=C(CCCc2ccc(Oc3ccccc3)cc2)C(=O)c2ccccc21
NCCNCCNCCN
CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O
Cc1ccccc1NC(=N)Nc1ccccc1C
O=C1NC(=O)C(Cc2ccccc2)(c2cccnc2)N1
O=C(O)COc1ccccc1C(=O)Nc1ccccc1
c1ccc2c(c1)[I+]c1ccccc1-2
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Br)c1[N+](=O)[O-]
C1OC1C1CO1
